PLACEKEY,LATITUDE,LONGITUDE,TOP_CATEGORY,CITY,REGION,POSTAL_CODE,STREET_ADDRESS,RAW_VISIT_COUNTS,RAW_VISITOR_COUNTS,IS_SYNTHETIC,WKT_AREA_SQ_METERS,ISO_COUNTRY_CODE,NORMALIZED_VISITS_BY_STATE_SCALING,NORMALIZED_VISITS_BY_REGION_NAICS_VISITS,NORMALIZED_VISITS_BY_REGION_NAICS_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,NORMALIZED_VISITS_BY_TOTAL_VISITORS
222-222@8f3-fxx-pvz,30.7781,-88.277546,Religious Organizations,Semmes,AL,36575,9911 Blackwell Nursery Rd S,55.0,45.0,False,826.0,US,683.0,0.002153324892,0.002514132031,2.015332664e-05,0.0001710162081
zzw-222@8f4-ggp-2ff,31.988419,-88.322449,Religious Organizations,Needham,AL,36915,1862 Needham Rd,55.0,13.0,True,1236.0,US,684.0,0.002268467707,0.002657365352,1.998522301e-05,0.0001711362958
226-223@8gn-24k-qvf,32.359772,-86.26534,"Justice, Public Order, and Safety Activities",Montgomery,AL,36106,2800 Zelda Rd # 100,160.0,160.0,False,1126.0,US,1984.0,0.05413584499,0.07928286875,5.600034278e-05,0.0004894427279
224-222@8gk-w8t-47q,33.586196,-86.285349,"Justice, Public Order, and Safety Activities",Pell City,AL,35125,1908 Cogswell Ave,296.0,191.0,False,639.0,US,3676.0,0.1109551022,0.1607425077,0.0001055893711,0.0009140381883
zzw-222@8gm-s2p-k9f,33.743673,-86.384146,"Justice, Public Order, and Safety Activities",Springville,AL,35146,1000 Saint Clair Rd,750.0,258.0,False,271633.0,US,9272.0,0.3046481599,0.3245601067,0.0002638993392,0.002296110639
zzy-222@8gm-r4h-68v,34.351284,-86.000891,"Justice, Public Order, and Safety Activities",Geraldine,AL,35974,12969 State Highway 227,34.0,29.0,False,719.0,US,417.0,0.01817208314,0.01926708503,1.217025127e-05,0.0001032470262
222-222@8gn-23s-psq,32.379385,-86.358628,National Security and International Affairs,Montgomery,AL,36112,130 W Selfridge St,167.0,61.0,False,2268.0,US,2076.0,6.921794872,6.921794872,6.000887417e-05,0.0005204208136
zzw-222@8gh-wn7-tjv,31.226429,-85.410443,Offices of Dentists,Dothan,AL,36301,1389 W Main St Ste 2,233.0,233.0,False,372.0,US,2891.0,0.01797744163,0.02633055055,8.204563978e-05,0.0007163931752
223-224@8f3-fwq-sdv,30.682624,-88.224985,Offices of Dentists,Mobile,AL,36608,7765 Airport Blvd,698.0,652.0,False,423.0,US,8607.0,0.05793728656,0.08330720999,0.00024763954,0.002145291957
224-222@8gm-v8r-fs5,33.629286,-85.808715,Offices of Other Health Practitioners,Anniston,AL,36207,1401 Hillyer Robinson Pkwy,59.0,54.0,False,337.0,US,721.0,0.009706623974,0.01185159399,1.97616186e-05,0.0001734873881
