business_name,latitude,longitude,formatted_address,location_type,location_id
happi notes,30.7849616,-88.3017969,"9911 Blackwell Nursery Rd, Semmes, AL 36575, USA",point_of_interest,ChIJRx2bQXevm4gRh5Nj0c3UvQI
1862 Needham Rd,31.98905959999999,-88.3213799,"1862 Needham Rd, Needham, AL 36915, USA",premise,ChIJke2qS_znhIgRxHYhXmqKnNE
2800 Zelda Rd #100,32.3597857,-86.26531120000001,"2800 Zelda Rd #100, Montgomery, AL 36106, USA",subpremise,ChIJLwHi59qBjogRyE32revdzs0
1908 Cogswell Ave,33.5861571,-86.28532400000002,"1908 Cogswell Ave, Pell City, AL 35125, USA",premise,ChIJqc7iuxd9iYgRKVa7odPVmKM
1000 St Clair Rd,33.7450312,-86.385676,"1000 St Clair Rd, Springville, AL 35146, USA",premise,ChIJI6Tk9IKCiYgRdq07cAW7q4E
12969 AL-227,34.3512638,-86.00091619999999,"12969 AL-227, Geraldine, AL 35974, USA",premise,ChIJgU71jQgMiogR2cZOECG5Lr4
130 Selfridge St,32.3754272,-86.34342269999999,"130 Selfridge St, Montgomery, AL 36112, USA",street_address,EisxMzAgU2VsZnJpZGdlIFN0LCBNb250Z29tZXJ5LCBBTCAzNjExMiwgVVNBIjESLwoUChIJE05ymLaGjogRcIgxI-d6LhMQggEqFAoSCSlGeoa5ho6IEYDOE3A50zJi
1389 W Main St #2,31.2264191,-85.4104474,"1389 W Main St #2, Dothan, AL 36301, USA",subpremise,ChIJUdMBIvaSkogR1AlDU1x8eqE
7765 Airport Blvd,30.6831274,-88.2237869,"7765 Airport Blvd, Mobile, AL 36608, USA",street_address,ChIJj90qNNazm4gRAvJwcvGtThk
1401 Hillyer Robinson Industrial Pkwy,33.629282,-85.8087206,"1401 Hillyer Robinson Industrial Pkwy, Anniston, AL 36207, USA",premise,ChIJ-7Egvnixi4gRNk_SatI5o6I
2880 Dauphin St,30.6896462,-88.1109262,"2880 Dauphin St, Mobile, AL 36606, USA",street_address,ChIJd2w8H35NmogR23Y92bZ4RQQ
Old Military Road,30.5397056,-88.1614851,"Old Military Rd, Mobile, AL 36582, USA",route,ChIJjUKjArZKmogRWnvHVOlrO9A
540 Hughes Rd Ste 10A,34.71084939999999,-86.7427369,"540 Hughes Rd Ste 10A, Madison, AL 35758, USA",subpremise,ChIJAQAAc_VlYogRqCL1iZYghHk
333 Franklin St SE,34.7295064,-86.5835847,"333 Franklin St SE, Huntsville, AL 35801, USA",premise,ChIJCQsdTlRrYogRFIbQnt3dGbY
2090 Columbiana Rd # 2000,33.4358346,-86.8113985,"2090 Columbiana Rd # 2000, Vestavia Hills, AL 35216, USA",subpremise,ChIJZSE7DtoYiYgRx_mjGp8-xBA
181 Hughes Rd #1b,34.7016938,-86.74142619999999,"181 Hughes Rd #1b, Madison, AL 35758, USA",subpremise,EikxODEgSHVnaGVzIFJkICMxYiwgTWFkaXNvbiwgQUwgMzU3NTgsIFVTQSIeGhwKFgoUChIJc0WFBmJvYogR1lAVk4uj5W8SAjFi
2075 Max Luther Dr NW,34.7578298,-86.598492,"2075 Max Luther Dr NW, Huntsville, AL 35810, USA",premise,ChIJE8tPGz1rYogRngSaZtitP9o
2600 Point Mallard Dr SE,34.58072319999999,-86.93610389999999,"2600 Point Mallard Dr SE, Decatur, AL 35601, USA",street_address,ChIJjfXLdCKHYogRToQ2aeq3wL4
300 22nd St S,33.5109005,-86.7999853,"300 22nd St S, Birmingham, AL 35233, USA",premise,ChIJ1Qo3o78biYgRpfzIopcDyuI
250 Chateau Dr SW # 120,34.69372879999999,-86.5734501,"250 Chateau Dr SW # 120, Huntsville, AL 35801, USA",subpremise,ChIJDQqUzzETYogR50oAO9N5cPs
1311 2nd Ave SW,34.1634475,-86.83764269999999,"1311 2nd Ave SW, Cullman, AL 35055, USA",premise,ChIJc8EqTsnLiYgRutGH5HHmR5E
2502 Schillinger Rd S,30.63842859999999,-88.22656429999999,"2502 Schillinger Rd S, Mobile, AL 36695, USA",premise,ChIJTZXbn7izm4gR6nCx5FHF1LE
500 Grand Ave SW,34.4383768,-85.7267531,"500 Grand Ave SW, Fort Payne, AL 35967, USA",premise,ChIJee4Jv9TXYYgRfAbBO3j7OY4
12060 County Line Rd,34.7295183,-86.7880151,"12060 County Line Rd, Madison, AL 35756, USA",premise,ChIJ0WtZmClkYogR8S69us_MMMM
418 S 5th St,34.0072865,-86.0068115,"418 S 5th St, Gadsden, AL 35901, USA",premise,ChIJaaX10q4-iogRwjbtnGxmWxI
3038 Ross Clark Cir,31.2237497,-85.4306333,"3038 Ross Clark Cir, Dothan, AL 36301, USA",premise,ChIJC1P77oaSkogRpxHb1YUO1MA
930 Franklin St SE,34.7207991,-86.57844879999999,"930 Franklin St SE, Huntsville, AL 35801, USA",premise,ChIJE4HxglQTYogR3exWiRJ4tb8
8 Perimeter Park S,33.4374279,-86.72608590000002,"8 Perimeter Park S, Birmingham, AL 35243, USA",premise,ChIJZ6pHfZ4XiYgRuDjRDulb8bA
1302 State St,32.6994368,-87.59383290000001,"1302 State St, Greensboro, AL 36744, USA",premise,ChIJndOMCsz0hYgRu8iyAfmnt5w
